Product Name,Category,Subcategory,Weight (kg),Material Composition,Distance (km),Recyclable,Repairable,Lifespan (yrs),Packaging Used,Eco Score,Carbon Footprint (kg CO2e),Is Eco-Friendly
Samsung 322L Refrigerator Var17,Electronics,Refrigerator,56.3,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1889,Yes,Yes,12,Plastic,0.59,309.75,No
Godrej 7 kg Washing Machine Var17,Electronics,Washing Machine,35.271,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1516,Yes,Yes,9,Plastic,0.57,239.15,No
Philips 9W LED Bulb Var17,Electronics,LED Bulb,0.08,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",921,Yes,No,4,Paper,0.69,9.75,Yes
Organic Bananas (1kg) Var17,Grocery,Bananas,0.972,Organic 100%,203,Yes,No,1,None,0.91,1.97,Yes
Amul Gold Milk 1L Var17,Grocery,Milk,1.017,"Organic 90%, Plastic 10%",489,No,No,1,Tetrapak,0.64,3.45,Yes
Khadi Natural Herbal Shampoo Var17,Personal Care,Shampoo,0.508,"Plastic 60%, Organic 40%",303,Yes,No,1,Plastic,0.64,8.87,Yes
Apple iPhone 15 Var18,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",4971,Yes,Yes,6,Cardboard,0.61,80.49,No
MacBook Air M2 Var18,Electronics,Laptop,1.225,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4729,Yes,Yes,6,Cardboard,0.66,165.36,No
Samsung Galaxy S24 Var18,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",4779,Yes,Yes,6,Cardboard,0.64,70.3,No
HP Pavilion x360 Var18,Electronics,Laptop,1.681,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3824,Yes,Yes,6,Cardboard,0.61,131.35,No
Samsung 322L Refrigerator Var18,Electronics,Refrigerator,55.965,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1949,Yes,Yes,11,Plastic,0.63,289.25,No
Godrej 7 kg Washing Machine Var18,Electronics,Washing Machine,34.571,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1395,Yes,Yes,9,Plastic,0.61,243.02,No
Philips 9W LED Bulb Var18,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",901,Yes,No,6,Paper,0.71,9.52,Yes
Organic Bananas (1kg) Var18,Grocery,Bananas,1.003,Organic 100%,203,Yes,No,2,None,0.93,2.03,Yes
Amul Gold Milk 1L Var18,Grocery,Milk,1.057,"Organic 90%, Plastic 10%",457,No,No,2,Tetrapak,0.59,3.45,No
Khadi Natural Herbal Shampoo Var18,Personal Care,Shampoo,0.502,"Plastic 60%, Organic 40%",313,Yes,No,1,Plastic,0.66,8.28,Yes
Apple iPhone 15 Var19,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",5395,Yes,Yes,5,Cardboard,0.68,83.86,No
MacBook Air M2 Var19,Electronics,Laptop,1.203,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5001,Yes,Yes,8,Cardboard,0.61,153.05,No
Samsung Galaxy S24 Var19,Electronics,Smartphone,0.171,"Aluminum 60%, Glass 30%, Plastic 10%",4739,Yes,Yes,7,Cardboard,0.62,66.92,No
HP Pavilion x360 Var19,Electronics,Laptop,1.686,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3662,Yes,Yes,5,Cardboard,0.63,129.55,No
Samsung 322L Refrigerator Var19,Electronics,Refrigerator,54.038,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2081,Yes,Yes,13,Plastic,0.63,312.94,No
Godrej 7 kg Washing Machine Var19,Electronics,Washing Machine,34.885,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1526,Yes,Yes,11,Plastic,0.58,241.54,No
Philips 9W LED Bulb Var19,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1076,Yes,No,5,Paper,0.7,9.5,Yes
Organic Bananas (1kg) Var19,Grocery,Bananas,0.988,Organic 100%,211,Yes,No,2,None,0.89,1.94,Yes
Amul Gold Milk 1L Var19,Grocery,Milk,1.057,"Organic 90%, Plastic 10%",470,No,No,2,Tetrapak,0.61,3.33,Yes
Khadi Natural Herbal Shampoo Var19,Personal Care,Shampoo,0.487,"Plastic 60%, Organic 40%",323,Yes,No,1,Plastic,0.66,8.28,Yes
Apple iPhone 15 Var20,Electronics,Smartphone,0.175,"Aluminum 70%, Silicon 20%, Plastic 10%",5484,Yes,Yes,7,Cardboard,0.66,77.72,No
MacBook Air M2 Var20,Electronics,Laptop,1.203,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4719,Yes,Yes,7,Cardboard,0.62,156.21,No
Samsung Galaxy S24 Var20,Electronics,Smartphone,0.171,"Aluminum 60%, Glass 30%, Plastic 10%",5162,Yes,Yes,7,Cardboard,0.63,70.94,No
HP Pavilion x360 Var20,Electronics,Laptop,1.706,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3647,Yes,Yes,6,Cardboard,0.63,135.27,No
Samsung 322L Refrigerator Var20,Electronics,Refrigerator,56.088,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1997,Yes,Yes,12,Plastic,0.61,289.02,No
Godrej 7 kg Washing Machine Var20,Electronics,Washing Machine,34.4,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1461,Yes,Yes,10,Plastic,0.57,260.8,No
Philips 9W LED Bulb Var20,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1092,Yes,No,6,Paper,0.72,9.81,Yes
Organic Bananas (1kg) Var20,Grocery,Bananas,0.972,Organic 100%,188,Yes,No,1,None,0.9,2.02,Yes
Amul Gold Milk 1L Var20,Grocery,Milk,1.032,"Organic 90%, Plastic 10%",544,No,No,1,Tetrapak,0.62,3.41,Yes
Khadi Natural Herbal Shampoo Var20,Personal Care,Shampoo,0.495,"Plastic 60%, Organic 40%",280,Yes,No,3,Plastic,0.61,8.23,Yes
Apple iPhone 15 Var21,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",4769,Yes,Yes,5,Cardboard,0.64,83.19,No
MacBook Air M2 Var21,Electronics,Laptop,1.236,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5441,Yes,Yes,8,Cardboard,0.61,158.87,No
Samsung Galaxy S24 Var21,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",4842,Yes,Yes,7,Cardboard,0.68,68.61,No
HP Pavilion x360 Var21,Electronics,Laptop,1.745,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3940,Yes,Yes,7,Cardboard,0.58,137.15,No
Samsung 322L Refrigerator Var21,Electronics,Refrigerator,55.181,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1961,Yes,Yes,12,Plastic,0.55,292.02,No
Godrej 7 kg Washing Machine Var21,Electronics,Washing Machine,35.7,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1624,Yes,Yes,10,Plastic,0.52,247.25,No
Philips 9W LED Bulb Var21,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1005,Yes,No,4,Paper,0.69,10.35,Yes
Organic Bananas (1kg) Var21,Grocery,Bananas,0.997,Organic 100%,192,Yes,No,1,None,0.88,2.05,Yes
Amul Gold Milk 1L Var21,Grocery,Milk,1.017,"Organic 90%, Plastic 10%",517,No,No,1,Tetrapak,0.59,3.38,No
Khadi Natural Herbal Shampoo Var21,Personal Care,Shampoo,0.502,"Plastic 60%, Organic 40%",326,Yes,No,1,Plastic,0.61,8.25,Yes
Apple iPhone 15 Var22,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",5414,Yes,Yes,7,Cardboard,0.62,82.94,No
MacBook Air M2 Var22,Electronics,Laptop,1.231,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5159,Yes,Yes,6,Cardboard,0.6,156.75,No
Samsung Galaxy S24 Var22,Electronics,Smartphone,0.173,"Aluminum 60%, Glass 30%, Plastic 10%",4652,Yes,Yes,5,Cardboard,0.68,69.84,No
HP Pavilion x360 Var22,Electronics,Laptop,1.728,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3600,Yes,Yes,6,Cardboard,0.6,137.67,No
Samsung 322L Refrigerator Var22,Electronics,Refrigerator,54.664,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2139,Yes,Yes,11,Plastic,0.55,308.79,No
Godrej 7 kg Washing Machine Var22,Electronics,Washing Machine,34.645,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1552,Yes,Yes,10,Plastic,0.54,244.17,No
Philips 9W LED Bulb Var22,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1024,Yes,No,4,Paper,0.71,9.67,Yes
Organic Bananas (1kg) Var22,Grocery,Bananas,1.013,Organic 100%,184,Yes,No,1,None,0.86,2.09,Yes
Amul Gold Milk 1L Var22,Grocery,Milk,1.023,"Organic 90%, Plastic 10%",454,No,No,1,Tetrapak,0.58,3.5,No
Khadi Natural Herbal Shampoo Var22,Personal Care,Shampoo,0.493,"Plastic 60%, Organic 40%",327,Yes,No,1,Plastic,0.69,8.25,Yes
Apple iPhone 15 Var23,Electronics,Smartphone,0.175,"Aluminum 70%, Silicon 20%, Plastic 10%",4507,Yes,Yes,7,Cardboard,0.65,79.08,No
MacBook Air M2 Var23,Electronics,Laptop,1.269,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4515,Yes,Yes,6,Cardboard,0.68,162.92,No
Samsung Galaxy S24 Var23,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",4844,Yes,Yes,6,Cardboard,0.61,70.98,No
HP Pavilion x360 Var23,Electronics,Laptop,1.704,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3701,Yes,Yes,7,Cardboard,0.66,136.72,No
Samsung 322L Refrigerator Var23,Electronics,Refrigerator,53.43,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2066,Yes,Yes,13,Plastic,0.55,313.5,No
Godrej 7 kg Washing Machine Var23,Electronics,Washing Machine,35.891,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1568,Yes,Yes,10,Plastic,0.53,242.33,No
Philips 9W LED Bulb Var23,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",964,Yes,No,5,Paper,0.76,10.19,Yes
Organic Bananas (1kg) Var23,Grocery,Bananas,0.998,Organic 100%,219,Yes,No,2,None,0.88,2.08,Yes
Amul Gold Milk 1L Var23,Grocery,Milk,1.023,"Organic 90%, Plastic 10%",484,No,No,2,Tetrapak,0.6,3.53,No
Khadi Natural Herbal Shampoo Var23,Personal Care,Shampoo,0.503,"Plastic 60%, Organic 40%",293,Yes,No,2,Plastic,0.66,8.26,Yes
Apple iPhone 15 Var24,Electronics,Smartphone,0.179,"Aluminum 70%, Silicon 20%, Plastic 10%",4750,Yes,Yes,6,Cardboard,0.67,77.42,No
MacBook Air M2 Var24,Electronics,Laptop,1.229,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5420,Yes,Yes,8,Cardboard,0.64,156.82,No
Samsung Galaxy S24 Var24,Electronics,Smartphone,0.164,"Aluminum 60%, Glass 30%, Plastic 10%",4530,Yes,Yes,7,Cardboard,0.68,69.41,No
HP Pavilion x360 Var24,Electronics,Laptop,1.65,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4141,Yes,Yes,7,Cardboard,0.61,137.48,No
Samsung 322L Refrigerator Var24,Electronics,Refrigerator,54.027,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1957,Yes,Yes,13,Plastic,0.6,289.53,No
Godrej 7 kg Washing Machine Var24,Electronics,Washing Machine,34.662,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1447,Yes,Yes,11,Plastic,0.56,238.48,No
Philips 9W LED Bulb Var24,Electronics,LED Bulb,0.08,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",941,Yes,No,5,Paper,0.74,9.94,Yes
Organic Bananas (1kg) Var24,Grocery,Bananas,1.001,Organic 100%,190,Yes,No,1,None,0.92,1.91,Yes
Amul Gold Milk 1L Var24,Grocery,Milk,1.041,"Organic 90%, Plastic 10%",513,No,No,1,Tetrapak,0.57,3.41,No
Khadi Natural Herbal Shampoo Var24,Personal Care,Shampoo,0.489,"Plastic 60%, Organic 40%",306,Yes,No,1,Plastic,0.64,8.17,Yes
Apple iPhone 15 Var25,Electronics,Smartphone,0.17,"Aluminum 70%, Silicon 20%, Plastic 10%",5486,Yes,Yes,5,Cardboard,0.67,80.42,No
MacBook Air M2 Var25,Electronics,Laptop,1.207,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5363,Yes,Yes,6,Cardboard,0.67,165.4,No
Samsung Galaxy S24 Var25,Electronics,Smartphone,0.167,"Aluminum 60%, Glass 30%, Plastic 10%",4737,Yes,Yes,7,Cardboard,0.65,69.29,No
HP Pavilion x360 Var25,Electronics,Laptop,1.699,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3772,Yes,Yes,5,Cardboard,0.63,137.37,No
Samsung 322L Refrigerator Var25,Electronics,Refrigerator,54.062,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1907,Yes,Yes,11,Plastic,0.53,288.79,No
Godrej 7 kg Washing Machine Var25,Electronics,Washing Machine,36.046,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1404,Yes,Yes,10,Plastic,0.57,248.02,No
Philips 9W LED Bulb Var25,Electronics,LED Bulb,0.08,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",912,Yes,No,6,Paper,0.71,10.41,Yes
Organic Bananas (1kg) Var25,Grocery,Bananas,0.982,Organic 100%,191,Yes,No,2,None,0.85,2.06,Yes
Amul Gold Milk 1L Var25,Grocery,Milk,1.019,"Organic 90%, Plastic 10%",522,No,No,1,Tetrapak,0.59,3.58,No
Khadi Natural Herbal Shampoo Var25,Personal Care,Shampoo,0.508,"Plastic 60%, Organic 40%",304,Yes,No,3,Plastic,0.66,8.58,Yes
Apple iPhone 15 Var26,Electronics,Smartphone,0.177,"Aluminum 70%, Silicon 20%, Plastic 10%",5173,Yes,Yes,6,Cardboard,0.68,81.24,No
MacBook Air M2 Var26,Electronics,Laptop,1.245,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4828,Yes,Yes,6,Cardboard,0.69,162.13,No
Samsung Galaxy S24 Var26,Electronics,Smartphone,0.168,"Aluminum 60%, Glass 30%, Plastic 10%",5049,Yes,Yes,7,Cardboard,0.59,71.83,No
HP Pavilion x360 Var26,Electronics,Laptop,1.712,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3735,Yes,Yes,7,Cardboard,0.59,129.06,No
Samsung 322L Refrigerator Var26,Electronics,Refrigerator,55.539,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1997,Yes,Yes,12,Plastic,0.62,293.99,No
Godrej 7 kg Washing Machine Var26,Electronics,Washing Machine,34.985,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1484,Yes,Yes,10,Plastic,0.58,249.95,No
Philips 9W LED Bulb Var26,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1018,Yes,No,5,Paper,0.7,10.4,Yes
Organic Bananas (1kg) Var26,Grocery,Bananas,1.009,Organic 100%,188,Yes,No,1,None,0.87,1.99,Yes
Amul Gold Milk 1L Var26,Grocery,Milk,1.023,"Organic 90%, Plastic 10%",537,No,No,1,Tetrapak,0.61,3.33,Yes
Khadi Natural Herbal Shampoo Var26,Personal Care,Shampoo,0.503,"Plastic 60%, Organic 40%",281,Yes,No,2,Plastic,0.6,8.58,No
Apple iPhone 15 Var27,Electronics,Smartphone,0.171,"Aluminum 70%, Silicon 20%, Plastic 10%",5320,Yes,Yes,5,Cardboard,0.59,76.09,No
MacBook Air M2 Var27,Electronics,Laptop,1.219,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4970,Yes,Yes,7,Cardboard,0.69,163.09,No
Samsung Galaxy S24 Var27,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",5136,Yes,Yes,6,Cardboard,0.65,68.89,No
HP Pavilion x360 Var27,Electronics,Laptop,1.655,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3962,Yes,Yes,7,Cardboard,0.67,130.4,No
Samsung 322L Refrigerator Var27,Electronics,Refrigerator,54.585,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2179,Yes,Yes,13,Plastic,0.59,305.07,No
Godrej 7 kg Washing Machine Var27,Electronics,Washing Machine,35.907,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1634,Yes,Yes,11,Plastic,0.53,237.82,No
Philips 9W LED Bulb Var27,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",989,Yes,No,5,Paper,0.77,10.4,Yes
Organic Bananas (1kg) Var27,Grocery,Bananas,1.029,Organic 100%,201,Yes,No,2,None,0.95,2.1,Yes
Amul Gold Milk 1L Var27,Grocery,Milk,1.019,"Organic 90%, Plastic 10%",478,No,No,1,Tetrapak,0.57,3.49,No
Khadi Natural Herbal Shampoo Var27,Personal Care,Shampoo,0.492,"Plastic 60%, Organic 40%",313,Yes,No,1,Plastic,0.67,8.14,Yes
Apple iPhone 15 Var28,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",5254,Yes,Yes,5,Cardboard,0.58,79.41,No
MacBook Air M2 Var28,Electronics,Laptop,1.274,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4866,Yes,Yes,7,Cardboard,0.6,157.79,No
Samsung Galaxy S24 Var28,Electronics,Smartphone,0.169,"Aluminum 60%, Glass 30%, Plastic 10%",4789,Yes,Yes,6,Cardboard,0.64,71.35,No
HP Pavilion x360 Var28,Electronics,Laptop,1.688,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4231,Yes,Yes,7,Cardboard,0.65,141.04,No
Samsung 322L Refrigerator Var28,Electronics,Refrigerator,56.164,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1811,Yes,Yes,13,Plastic,0.58,313.0,No
Godrej 7 kg Washing Machine Var28,Electronics,Washing Machine,35.182,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1502,Yes,Yes,10,Plastic,0.57,238.85,No
Philips 9W LED Bulb Var28,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1080,Yes,No,6,Paper,0.74,9.9,Yes
Organic Bananas (1kg) Var28,Grocery,Bananas,0.98,Organic 100%,186,Yes,No,1,None,0.92,2.08,Yes
Amul Gold Milk 1L Var28,Grocery,Milk,1.019,"Organic 90%, Plastic 10%",497,No,No,1,Tetrapak,0.62,3.54,Yes
Khadi Natural Herbal Shampoo Var28,Personal Care,Shampoo,0.508,"Plastic 60%, Organic 40%",300,Yes,No,2,Plastic,0.67,8.19,Yes
Apple iPhone 15 Var29,Electronics,Smartphone,0.171,"Aluminum 70%, Silicon 20%, Plastic 10%",4722,Yes,Yes,6,Cardboard,0.61,82.93,No
MacBook Air M2 Var29,Electronics,Laptop,1.238,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5270,Yes,Yes,7,Cardboard,0.67,167.67,No
Samsung Galaxy S24 Var29,Electronics,Smartphone,0.164,"Aluminum 60%, Glass 30%, Plastic 10%",4804,Yes,Yes,7,Cardboard,0.63,68.56,No
HP Pavilion x360 Var29,Electronics,Laptop,1.725,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4153,Yes,Yes,6,Cardboard,0.64,141.07,No
Samsung 322L Refrigerator Var29,Electronics,Refrigerator,55.677,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1823,Yes,Yes,13,Plastic,0.56,308.33,No
Godrej 7 kg Washing Machine Var29,Electronics,Washing Machine,34.336,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1594,Yes,Yes,10,Plastic,0.59,251.86,No
Philips 9W LED Bulb Var29,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1055,Yes,No,5,Paper,0.69,9.71,Yes
Organic Bananas (1kg) Var29,Grocery,Bananas,0.99,Organic 100%,200,Yes,No,1,None,0.89,1.94,Yes
Amul Gold Milk 1L Var29,Grocery,Milk,1.06,"Organic 90%, Plastic 10%",453,No,No,2,Tetrapak,0.57,3.38,No
Khadi Natural Herbal Shampoo Var29,Personal Care,Shampoo,0.514,"Plastic 60%, Organic 40%",275,Yes,No,3,Plastic,0.63,8.89,Yes
Apple iPhone 15 Var30,Electronics,Smartphone,0.177,"Aluminum 70%, Silicon 20%, Plastic 10%",5280,Yes,Yes,5,Cardboard,0.67,78.39,No
MacBook Air M2 Var30,Electronics,Laptop,1.256,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5422,Yes,Yes,6,Cardboard,0.66,156.73,No
Samsung Galaxy S24 Var30,Electronics,Smartphone,0.168,"Aluminum 60%, Glass 30%, Plastic 10%",4666,Yes,Yes,7,Cardboard,0.62,69.63,No
HP Pavilion x360 Var30,Electronics,Laptop,1.681,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4271,Yes,Yes,7,Cardboard,0.58,130.62,No
Samsung 322L Refrigerator Var30,Electronics,Refrigerator,53.437,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1995,Yes,Yes,13,Plastic,0.6,299.51,No
Godrej 7 kg Washing Machine Var30,Electronics,Washing Machine,34.334,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1517,Yes,Yes,9,Plastic,0.61,250.12,No
Philips 9W LED Bulb Var30,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1027,Yes,No,5,Paper,0.68,9.62,Yes
Organic Bananas (1kg) Var30,Grocery,Bananas,0.972,Organic 100%,186,Yes,No,1,None,0.91,2.05,Yes
Amul Gold Milk 1L Var30,Grocery,Milk,1.009,"Organic 90%, Plastic 10%",465,No,No,2,Tetrapak,0.57,3.67,No
Khadi Natural Herbal Shampoo Var30,Personal Care,Shampoo,0.513,"Plastic 60%, Organic 40%",322,Yes,No,1,Plastic,0.67,8.5,Yes
Apple iPhone 15 Var31,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",5467,Yes,Yes,7,Cardboard,0.59,78.33,No
MacBook Air M2 Var31,Electronics,Laptop,1.216,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4785,Yes,Yes,6,Cardboard,0.66,153.7,No
Samsung Galaxy S24 Var31,Electronics,Smartphone,0.173,"Aluminum 60%, Glass 30%, Plastic 10%",5061,Yes,Yes,7,Cardboard,0.6,68.17,No
HP Pavilion x360 Var31,Electronics,Laptop,1.673,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3787,Yes,Yes,6,Cardboard,0.61,131.2,No
Samsung 322L Refrigerator Var31,Electronics,Refrigerator,54.565,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2163,Yes,Yes,11,Plastic,0.57,302.84,No
Godrej 7 kg Washing Machine Var31,Electronics,Washing Machine,34.499,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1406,Yes,Yes,11,Plastic,0.56,245.78,No
Philips 9W LED Bulb Var31,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1003,Yes,No,4,Paper,0.72,9.57,Yes
Organic Bananas (1kg) Var31,Grocery,Bananas,0.978,Organic 100%,205,Yes,No,1,None,0.89,2.09,Yes
Amul Gold Milk 1L Var31,Grocery,Milk,1.025,"Organic 90%, Plastic 10%",534,No,No,1,Tetrapak,0.58,3.41,No
Khadi Natural Herbal Shampoo Var31,Personal Care,Shampoo,0.488,"Plastic 60%, Organic 40%",311,Yes,No,1,Plastic,0.66,8.34,Yes
Apple iPhone 15 Var32,Electronics,Smartphone,0.173,"Aluminum 70%, Silicon 20%, Plastic 10%",4908,Yes,Yes,5,Cardboard,0.59,79.32,No
MacBook Air M2 Var32,Electronics,Laptop,1.267,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4979,Yes,Yes,6,Cardboard,0.69,160.99,No
Samsung Galaxy S24 Var32,Electronics,Smartphone,0.169,"Aluminum 60%, Glass 30%, Plastic 10%",5318,Yes,Yes,5,Cardboard,0.62,71.04,No
HP Pavilion x360 Var32,Electronics,Laptop,1.68,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4372,Yes,Yes,5,Cardboard,0.59,139.72,No
Samsung 322L Refrigerator Var32,Electronics,Refrigerator,54.181,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2096,Yes,Yes,13,Plastic,0.62,312.82,No
Godrej 7 kg Washing Machine Var32,Electronics,Washing Machine,34.753,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1600,Yes,Yes,10,Plastic,0.61,243.8,No
Philips 9W LED Bulb Var32,Electronics,LED Bulb,0.08,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",979,Yes,No,6,Paper,0.77,10.11,Yes
Organic Bananas (1kg) Var32,Grocery,Bananas,0.995,Organic 100%,204,Yes,No,1,None,0.92,1.99,Yes
Amul Gold Milk 1L Var32,Grocery,Milk,1.031,"Organic 90%, Plastic 10%",531,No,No,1,Tetrapak,0.62,3.48,Yes
Khadi Natural Herbal Shampoo Var32,Personal Care,Shampoo,0.489,"Plastic 60%, Organic 40%",280,Yes,No,2,Plastic,0.66,8.4,Yes
Apple iPhone 15 Var33,Electronics,Smartphone,0.174,"Aluminum 70%, Silicon 20%, Plastic 10%",4709,Yes,Yes,7,Cardboard,0.65,81.46,No
MacBook Air M2 Var33,Electronics,Laptop,1.26,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5373,Yes,Yes,8,Cardboard,0.63,157.74,No
Samsung Galaxy S24 Var33,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",4680,Yes,Yes,5,Cardboard,0.64,71.62,No
HP Pavilion x360 Var33,Electronics,Laptop,1.708,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3997,Yes,Yes,5,Cardboard,0.6,130.4,No
Samsung 322L Refrigerator Var33,Electronics,Refrigerator,56.072,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2004,Yes,Yes,12,Plastic,0.6,287.34,No
Godrej 7 kg Washing Machine Var33,Electronics,Washing Machine,33.995,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1412,Yes,Yes,9,Plastic,0.59,259.23,No
Philips 9W LED Bulb Var33,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",937,Yes,No,6,Paper,0.76,10.28,Yes
Organic Bananas (1kg) Var33,Grocery,Bananas,1.013,Organic 100%,180,Yes,No,1,None,0.94,2.07,Yes
Amul Gold Milk 1L Var33,Grocery,Milk,1.022,"Organic 90%, Plastic 10%",465,No,No,2,Tetrapak,0.57,3.38,No
Khadi Natural Herbal Shampoo Var33,Personal Care,Shampoo,0.508,"Plastic 60%, Organic 40%",280,Yes,No,3,Plastic,0.65,8.1,Yes
